Labels,No. of instances,No. of unique particpants,Details
camera,154,16,"Counter({'P420': 40, 'P419': 27, 'P421': 23, 'P425': 16, 'P417': 11, 'P429': 9, 'P423': 8, 'P416': 5, 'P412': 4, 'P404': 3, 'P431': 2, 'P427': 2, 'P409': 1, 'P410': 1, 'P415': 1, 'P424': 1})"
"sitting, phone",33,6,"Counter({'P421': 21, 'P429': 6, 'P420': 2, 'P423': 2, 'P412': 1, 'P425': 1})"
walking,14,7,"Counter({'P425': 4, 'P419': 3, 'P417': 2, 'P429': 2, 'P404': 1, 'P421': 1, 'P431': 1})"
driving,11,4,"Counter({'P419': 6, 'P416': 3, 'P404': 1, 'P412': 1})"
"walking, shopping",11,2,"Counter({'P419': 10, 'P423': 1})"
sitting,10,8,"Counter({'P431': 3, 'P404': 1, 'P411': 1, 'P419': 1, 'P420': 1, 'P423': 1, 'P405': 1, 'P410': 1})"
cleaning,9,5,"Counter({'P409': 3, 'P417': 3, 'P410': 1, 'P419': 1, 'P424': 1})"
"phone, TV",9,1,Counter({'P421': 9})
eating,8,3,"Counter({'P419': 5, 'P404': 2, 'P425': 1})"
"walking, cleaning",8,4,"Counter({'P419': 3, 'P425': 3, 'P404': 1, 'P410': 1})"
fidgeting,7,3,"Counter({'P417': 4, 'P425': 2, 'P419': 1})"
"walking, fidgeting",7,6,"Counter({'P404': 2, 'P425': 1, 'P429': 1, 'P431': 1, 'P417': 1, 'P420': 1})"
"driving, fidgeting",4,1,Counter({'P412': 4})
"fidgeting, walking",3,2,"Counter({'P425': 2, 'P417': 1})"
"sitting, fidgeting",3,2,"Counter({'P427': 2, 'P404': 1})"
phone,3,1,Counter({'P419': 3})
"walking, phone",3,2,"Counter({'P419': 2, 'P425': 1})"
"sitting, cleaning",3,3,"Counter({'P404': 1, 'P410': 1, 'P429': 1})"
"sitting, computer",3,2,"Counter({'P404': 2, 'P429': 1})"
"sitting, drinking, smoking, fidgeting",2,1,Counter({'P425': 2})
"sitting, talking, fidgeting",2,1,Counter({'P404': 2})
"phone, walking",2,2,"Counter({'P424': 1, 'P417': 1})"
"sitting, computer, fidgeting",2,1,Counter({'P411': 2})
"phone, talking",2,2,"Counter({'P417': 1, 'P419': 1})"
"phone, fidgeting",2,1,Counter({'P425': 2})
bathroom,2,2,"Counter({'P411': 1, 'P429': 1})"
others,2,1,Counter({'P404': 2})
"fidgeting, talking",2,2,"Counter({'P420': 1, 'P425': 1})"
"fidgeting, smoking",2,1,Counter({'P425': 2})
"sitting, computer, writing",2,1,Counter({'P404': 2})
"walking, carrying",2,2,"Counter({'P419': 1, 'P423': 1})"
"walking, driving",2,2,"Counter({'P404': 1, 'P419': 1})"
computer,2,1,Counter({'P417': 2})
"sitting, talking",1,1,Counter({'P404': 1})
"sitting, walking",1,1,Counter({'P420': 1})
"sitting, smoking, fidgeting, drinking, phone",1,1,Counter({'P425': 1})
"sitting, smoking, fidgeting",1,1,Counter({'P425': 1})
"sitting, smoking, phone",1,1,Counter({'P425': 1})
"TV, fidgeting",1,1,Counter({'P417': 1})
"sitting, walking, drinking",1,1,Counter({'P429': 1})
"smoking, fidgeting, drinking",1,1,Counter({'P425': 1})
"smoking, stairs, phone",1,1,Counter({'P431': 1})
standing,1,1,Counter({'P421': 1})
"sitting, public_transit",1,1,Counter({'P417': 1})
"standing, fidgeting",1,1,Counter({'P425': 1})
swepping,1,1,Counter({'P420': 1})
"walking, sitting, fidgeting",1,1,Counter({'P410': 1})
"walking, stairs, drinking",1,1,Counter({'P419': 1})
"sitting, public_transit, phone",1,1,Counter({'P411': 1})
"sitting, computer, fidgetting",1,1,Counter({'P404': 1})
"sitting, phone, talking",1,1,Counter({'P420': 1})
"sitting, phone, smoking, talking",1,1,Counter({'P425': 1})
"bathroom, drinking, smoking",1,1,Counter({'P425': 1})
"carrying, walking",1,1,Counter({'P425': 1})
"cleaning, walking",1,1,Counter({'P425': 1})
"drinking, computer",1,1,Counter({'P425': 1})
"drinking, fidgeting, talking",1,1,Counter({'P425': 1})
"drinking, phone",1,1,Counter({'P425': 1})
"drinking, smoking, walking",1,1,Counter({'P425': 1})
"driving, fidgeting, drinking",1,1,Counter({'P412': 1})
"eating, walking",1,1,Counter({'P429': 1})
"eating, walking, cooking",1,1,Counter({'P410': 1})
"fidgeting, drinking",1,1,Counter({'P425': 1})
"phone, washing_dishes",1,1,Counter({'P420': 1})
public_transit,1,1,Counter({'P425': 1})
"public_transit, fidgeting",1,1,Counter({'P425': 1})
"shopping, phone, walking",1,1,Counter({'P419': 1})
"sitting, drinking, phone",1,1,Counter({'P425': 1})
"sitting, eating",1,1,Counter({'P404': 1})
"sitting, fidgeting, public_transit",1,1,Counter({'P425': 1})
"sitting, fidgeting, smoking, phone",1,1,Counter({'P425': 1})
"sitting, phone, cleaning",1,1,Counter({'P429': 1})
"sitting, phone, fidgeting",1,1,Counter({'P404': 1})
"washing_dishes, cleaning",1,1,Counter({'P420': 1})
